Magnetic Field,Angle,Magnetic Field,Angle,Magnetic Field,Angle,Magnetic Field,Angle,Magnetic Field,Angle,Magnetic Field,Angle,Magnetic Field,Angle
Gauss,Degrees,Gauss,Degrees,Gauss,Degrees,Gauss,Degrees,Gauss,Degrees,Gauss,Degrees,Gauss,Degrees
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1395.1668568529,160,9599.98257419258,160
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1382.39786478799,162,10287.6263192458,162
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1371.09661883803,164,10888.9158782074,164
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1361.22125561656,166,NaN,166
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1352.73520273035,168,NaN,168
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1345.60705634687,170,NaN,170
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1339.81046446644,172,NaN,172
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1335.32402123657,174,NaN,174
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1332.13117619599,176,NaN,176
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1330.22016122921,178,NaN,178
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1329.58393715845,180,NaN,180
